type_id	type
0	nan
1	protein_coding
2	lncRNA
3	processed_pseudogene
4	unprocessed_pseudogene
5	miRNA
6	snRNA
7	misc_RNA
8	TEC
9	transcribed_unprocessed_pseudogene
10	snoRNA
11	transcribed_processed_pseudogene
12	rRNA_pseudogene
13	IG_V_pseudogene
14	transcribed_unitary_pseudogene
15	IG_V_gene
16	TR_V_gene
17	unitary_pseudogene
18	TR_J_gene
19	scaRNA
20	rRNA
21	IG_D_gene
22	TR_V_pseudogene
23	Mt_tRNA
24	artifact
25	IG_J_gene
26	pseudogene
27	IG_C_gene
28	IG_C_pseudogene
29	ribozyme
30	TR_C_gene
31	sRNA
32	TR_D_gene
33	TR_J_pseudogene
34	translated_unprocessed_pseudogene
35	IG_J_pseudogene
36	translated_processed_pseudogene
37	Mt_rRNA
38	vault_RNA
39	IG_pseudogene
40	scRNA